código,nota,estado
72.32,null,Cursando
72.33,null,Cursando
72.74,null,Cursando
93.35,null,Cursando
72.31,8,Aprobado
93.58,8,Aprobado
93.59,10,Aprobado
11.15,6,Aprobado
31.26,null,Ausente
31.35,null,Ausente
61.23,5,Aprobado
61.31,5,Aprobado
23.06,8,Aprobado
31.35,null,Ausente
93.22,6,Aprobado
93.66,7,Aprobado
12.83,10,Aprobado
21.08,8,Aprobado
30.94,null,Cursando
30.97,8,Aprobado
31.21,6,Aprobado
93.38,9,Aprobado
93.44,5,Aprobado
94.51,null,
94.52,null,
31.34,6,Aprobado
93.43,7,Aprobado
93.51,6,Aprobado
93.65,7,Aprobado
30.33,9,Aprobado
30.34,6,Aprobado
71.57,9,Aprobado
93.03,6,Aprobado
93.42,8,Aprobado
12.43,8,Aprobado
12.44,7,Aprobado
71.55,10,Aprobado
93.02,6,Aprobado
93.41,8,Aprobado
94.24,8,Aprobado
12.01,7,Aprobado
31.08,10,Aprobado
93.17,7,Aprobado
93.18,7,Aprobado
94.21,7,Aprobado
12.50,null,Aprobado
93.80,null,Aprobado
93.90,null,Aprobado
99.05,null,Aprobado